feature,importance
rs1015097_A_2,0.44725196146876633
rs2109069_G_0,0.35459560656135847
rs7041597_T_2,0.3250361167785682
rs469942_C_1,0.22604553233929078
rs7547997_G_1,0.14118751446739125
rs11264306_A_2,0.1165223928818586
rs756345_G_1,0.08651805848370131
rs699240_T_1,0.0706099065300707
rs2361278_T_2,0.053514396303103784
rs918174_T_1,0.04742652679040891
rs2736100_A_1,0.03748843643531503
rs2109069_G_2,0.03575126017533175
rs6736148_C_2,0.03565122809387953
rs34825924_G_2,0.03284798136860377
rs28703652_G_0,0.031514494101770985
rs7041597_T_0,0.030318062352008325
rs1496725_A_1,0.030284870766469418
rs73409602_C_1,0.029234362498998388
rs13183751_G_2,0.029010809274028746
rs74987898_C_2,0.028919006375407865
rs1278769_G_2,0.026011577858783903
rs7725218_G_1,0.0228039623866879
rs74987898_C_1,0.022081059181344297
rs2609255_T_2,0.02085643919913911
rs2076295_T_0,0.019500301691384458
rs62505367_T_2,0.019458114309808473
rs4811028_G_1,0.019002832682404738
rs1496725_A_2,0.017292345700863406
rs2071627_C_0,0.016796728840169584
rs41482151_C_1,0.016696282078067285
rs12275748_C_2,0.015288403157132183
rs28703652_G_1,0.015272187926230573
rs1123573_A_2,0.014917501463019121
rs34825924_G_1,0.014816650243851037
rs7547997_G_2,0.01478035446278349
rs918174_T_2,0.01471707980769882
rs75291377_G_2,0.01400390555804504
rs11680126_C_2,0.0139644418398391
rs10484326_T_1,0.013525868548528205
rs9577395_C_1,0.013252376025046201
rs893889_G_1,0.012704275660976079
rs16837903_G_2,0.012501637548963497
rs56744128_A_2,0.012400471678996846
rs1851741_G_1,0.011975773174678751
rs664034_T_2,0.011539965504092328
rs3778337_G_2,0.011524365025983314
rs3750920_C_0,0.011453335510273305
rs68170294_G_1,0.011436307444630246
rs10842996_T_2,0.011211043132172742
rs302837_A_2,0.011162668164875194
rs6736148_C_1,0.011020536137589446
rs2034650_A_0,0.010915749490186467
rs62112917_C_2,0.010542968401329641
rs9397724_G_2,0.010327412710593764
rs62112917_C_1,0.010222276845643186
rs1189320_G_1,0.009550844867888379
rs7934606_C_1,0.009490138548016398
rs12658068_G_1,0.009211728665981125
rs17616659_G_2,0.008956475498933202
rs68170294_G_2,0.008532478112347862
rs79242376_G_2,0.008338648193660616
rs664034_T_0,0.00799921301716225
rs4077759_T_2,0.007549910397656022
rs62505367_T_0,0.007534315838126276
rs56387623_T_2,0.0074629188128154415
rs74490361_T_1,0.007420215870671369
rs469942_C_2,0.00721624877060674
rs2577254_T_1,0.0069949897090118025
rs664034_T_1,0.0069364862702079
rs2353082_C_1,0.006818239494020351
rs4680134_C_0,0.006788758842682543
rs28703652_G_2,0.006727687296714823
rs62354543_A_1,0.006645612157604858
rs10776482_A_1,0.006537624857553213
rs6491201_C_0,0.006501717831747123
rs56111559_G_1,0.006441919310338103
rs2609260_T_2,0.0063023978410208575
rs3131520_C_2,0.006294667545922532
rs4960330_T_0,0.006179462694700085
rs56387623_T_0,0.00606622943883258
rs72762052_C_1,0.006054427120366543
rs12610495_A_2,0.005985720824109065
rs11154034_T_0,0.005863533660307103
rs61867586_C_2,0.0056007869428853704
rs12713927_G_2,0.0054703969401574334
rs10518693_C_0,0.005408440738453963
rs1422506_G_2,0.005353422614696148
rs3829223_C_1,0.005351693186453257
rs4918072_G_2,0.005306564405393743
rs55682827_C_1,0.004728231489691233
rs4918072_G_1,0.004591938940735633
rs3130157_G_2,0.00456244486465693
rs35677769_G_1,0.004382379658151331
rs2071627_C_1,0.004357632335712172
rs923077_A_1,0.004348544092601344
rs55672765_C_2,0.004341162506523957
rs2857476_C_0,0.004183746593660081
rs11102362_G_2,0.004041594487659189
rs302837_A_1,0.004039371823734175
rs68170294_G_0,0.0040306911629906204
rs12710674_C_2,0.003969168411354842
rs56744128_A_0,0.003844422102372334
rs71389435_C_1,0.0038112127455311685
rs9931202_G_1,0.003714282725108017
rs10783497_A_1,0.0036940840919775352
rs55672765_C_1,0.003690805493144783
rs616768_G_2,0.0036027092410591864
rs10881263_G_1,0.003597471879741908
rs10518693_C_2,0.0035054280758580374
rs11102362_G_1,0.0034579289988968193
rs7122936_A_0,0.0034458540693212227
rs1851741_G_0,0.0034359426041582083
rs2857476_C_2,0.0032215521810565846
rs923077_A_2,0.00314028923163895
rs79242376_G_1,0.0029968918368592406
rs7122936_A_1,0.00292435950720863
rs10869195_A_1,0.0029077395422324958
rs2353082_C_2,0.0028171343518286216
rs169889_A_0,0.002619903142445589
rs7934606_C_2,0.0025073429199555437
rs17616659_G_1,0.002478723382419437
rs302837_A_0,0.0024618738444103943
rs17616659_G_0,0.002454200547208962
rs12975986_C_0,0.0023335232002135854
rs601878_C_2,0.0022849821493664633
rs76160568_A_1,0.002239794498436469
rs616768_G_0,0.002198726575853763
rs12713927_G_0,0.002177223454338773
rs12610495_A_0,0.00212656369280028
rs7934606_C_0,0.0019997792219194795
rs2067832_G_0,0.00190109058096336
rs1423029_A_0,0.0018908254079952357
rs10869195_A_2,0.001885464153865747
rs5743890_T_1,0.0018656844114202564
rs55672765_C_0,0.0018207920883675324
rs6899532_G_1,0.001663545669852181
rs7942850_T_2,0.0015937875946190213
rs2228972_G_2,0.0015782649312181681
rs9577395_C_0,0.0015491245688184457
rs756345_G_2,0.0015227936597110396
rs117427783_T_1,0.0014815610193744928
rs4960330_T_1,0.0014201051223400143
rs6491201_C_2,0.001412389389055757
rs756345_G_0,0.0013942829803901564
rs35677769_G_2,0.0012987683461689861
rs10881263_G_2,0.0012953032732909249
rs76160568_A_2,0.001294764005283914
rs4672388_T_0,0.0012405275549233594
rs56111559_G_2,0.001239110948692351
rs75764565_C_1,0.0012223833534371448
rs6899532_G_2,0.0012118816991616395
rs71389435_C_2,0.001198553528679293
rs2375892_T_2,0.0011176129462594391
rs699240_T_0,0.0011140512888553884
rs1496725_A_0,0.0010626015032370656
rs56184452_G_1,0.0009381998206098055
rs12658068_G_0,0.0008561727217701494
rs1923802_T_2,0.0008011696183440176
rs117427783_T_2,0.0007733613970279981
rs34625679_T_1,0.0007706878058500646
rs12928193_G_0,0.0006807006230939628
rs1981997_G_1,0.0006592279633665345
rs17007563_C_1,0.0006522573479218745
rs4811028_G_2,0.0006208258090128413
rs11680126_C_0,0.000594858792669202
rs2375892_T_1,0.0005864901727984649
rs7730878_A_2,0.0005315926807336657
rs13183751_G_1,0.0004880933475469077
rs1189320_G_0,0.0004848342897957484
rs151036604_T_2,0.0004439352850040645
rs3130157_G_0,0.0004422346945259735
rs34625679_T_2,0.0004171922859038377
rs1479945_C_2,0.00040199343192524265
rs2076295_T_2,0.00038605366719040305
