feature,importance
rs11154034_T_0,0.08240384627704328
rs35705950.1_G_2,0.07999620073581931
rs2726049_A_0,0.03074526774966417
rs7041597_T_1,0.028500787710086274
rs2076295_T_0,0.027367814521279846
rs2353082_C_1,0.020553837252456294
rs35705950.1_G_1,0.020278032136901786
rs2034650_A_1,0.019574720172842754
rs1423029_A_2,0.018623405236003095
rs12446021_G_2,0.014298423761579557
rs664034_T_0,0.013143321569031495
rs34825924_G_1,0.01126617914979623
rs11680126_C_2,0.010793379344834746
rs7942850_T_2,0.010702453600303247
rs12975986_C_1,0.009362672998350977
rs2071627_C_0,0.00933614508738027
rs1278769_G_1,0.00902120947147022
rs10842996_T_1,0.008943859114437683
rs1496725_A_0,0.007343759458777243
rs3131520_C_1,0.006451213614704103
rs7730878_A_2,0.006389857479498029
rs601878_C_1,0.005593124173677393
rs2736100_A_0,0.005571194398584521
rs2736100_A_1,0.005323136159849318
rs12446021_G_1,0.005246680439797001
rs10842996_T_2,0.00518534130051852
rs1189320_G_1,0.005092199106562711
rs2577254_T_0,0.004644334247995543
rs10881263_G_1,0.0046248998101070795
rs4077759_T_1,0.0044492446811768465
rs6499642_C_1,0.004323200626640311
rs62505367_T_2,0.004178744013813016
rs4918072_G_2,0.004081942194058797
rs11102362_G_1,0.0035047977494897984
rs55682827_C_1,0.00343881875640996
rs1496725_A_2,0.003366918433604824
rs17019820_A_1,0.003269966564155517
rs2067832_G_2,0.0031524254948623012
rs1189320_G_2,0.0029985087215614304
rs302837_A_0,0.002837010275589699
rs11191865_G_2,0.0028323839639723524
rs3744761_C_1,0.002769607979611008
rs17616659_G_2,0.0026830078294850547
rs56387623_T_1,0.0025653432282898405
rs6970647_T_1,0.0024948393390203157
rs68170294_G_2,0.0024335467567306417
rs3744761_C_2,0.0023797309188984604
rs10783497_A_2,0.0022810819589380994
rs1123573_A_1,0.002148135830516295
rs2609255_T_2,0.0021321170134668077
rs55682827_C_2,0.0020378338161748336
rs469942_C_2,0.002016576173015446
rs10748858_T_2,0.0019355704888440698
rs34825924_G_2,0.0019198180395309814
rs1851741_G_1,0.0018203558388150993
rs68170294_G_1,0.0017665947808108646
rs7942850_T_1,0.0017242852416189658
rs4960330_T_1,0.0015459790154426722
rs10776482_A_1,0.0014799872719130642
rs7934606_C_2,0.001476820686424577
rs4680134_C_2,0.0014705200766599916
rs1423029_A_1,0.0014700851842695576
rs7122936_A_2,0.0013792782194811434
predicted_risk,0.00135917908460001
rs78288787_C_2,0.001351756144642356
rs1496725_A_1,0.0012549737880032169
rs17616659_G_1,0.0012347657073881364
rs2071627_C_2,0.0012054746311946929
rs10886437_C_2,0.0011835444797789819
rs3829223_C_1,0.0011438859023065414
rs1422506_G_1,0.0011354340120906042
rs7041597_T_2,0.0011189536144699248
rs2577254_T_1,0.0010664613817812163
rs3778337_G_2,0.0010531317488506999
rs72762052_C_2,0.0010231333011265346
rs4680134_C_1,0.0009780111565103628
rs5743890_T_2,0.0009737526093875303
rs12975986_C_2,0.0009718020901718787
rs10886437_C_1,0.0009595832191881781
rs2034650_A_2,0.0009517722147904451
rs4727443_C_2,0.0008817749640639498
rs7725218_G_2,0.0008484050164661384
rs3887876_C_2,0.0008268973323964369
rs2228972_G_1,0.000809296316564
rs74490361_T_2,0.0007648841883868875
rs12928193_G_2,0.0007564256463290179
rs1123573_A_2,0.0007502396484721574
rs1278769_G_2,0.000702045536082398
rs469942_C_1,0.0007008091052565196
rs62505367_T_1,0.000674990085888598
rs78288787_C_1,0.0006561189212620405
rs1015097_A_1,0.0006318240648993882
