target_name,model,feature,top20_split_count,mean_rank_when_top20,max_mean_abs_shap,fraction_splits_top20
FILD or FILA ADJUDICATED,combined,predicted_risk,30,1.0,1.1127402738320868,1.0
FILD or FILA ADJUDICATED,combined,rs1015097_A_1,1,15.0,0.0350791406587709,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1015097_A_2,1,11.0,0.04406667108767439,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs10422762_A_0,2,8.0,0.06313122961259272,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs10422762_A_2,1,15.0,0.10290014852236704,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs10518693_C_0,1,13.0,0.07156257110247283,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs10518693_C_1,2,11.5,0.12381889087919722,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs10748858_T_0,2,15.5,0.041896795370404305,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs10776482_A_0,3,11.333333333333334,0.1702276634532469,0.1
FILD or FILA ADJUDICATED,combined,rs10776482_A_1,2,11.5,0.1190067440784538,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs10776482_A_2,1,5.0,0.14250968925773594,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs10783497_A_2,7,8.285714285714286,0.21899584325273203,0.23333333333333334
FILD or FILA ADJUDICATED,combined,rs10842996_T_0,1,13.0,0.09558700447999693,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs10842996_T_1,3,9.666666666666666,0.10187699708933459,0.1
FILD or FILA ADJUDICATED,combined,rs10842996_T_2,2,11.5,0.050893132245926974,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs10881263_G_0,1,14.0,0.020103947730699352,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs10881263_G_1,1,10.0,0.065292636026692,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs10881263_G_2,5,12.0,0.0714778385518135,0.16666666666666666
FILD or FILA ADJUDICATED,combined,rs10886437_C_2,1,15.0,0.018288901084375784,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs11102362_G_0,1,16.0,0.0443010843598299,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs11102362_G_1,2,12.5,0.08310964747003811,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs11102362_G_2,2,14.0,0.10173545863115611,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs11154034_T_0,1,16.0,0.10025237391014243,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs11154034_T_1,1,11.0,0.08651495473354391,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs11154034_T_2,5,7.0,0.1708609398387865,0.16666666666666666
FILD or FILA ADJUDICATED,combined,rs1123573_A_0,5,12.4,0.07851639112847934,0.16666666666666666
FILD or FILA ADJUDICATED,combined,rs1123573_A_1,1,16.0,0.06052931420189035,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1123573_A_2,3,12.0,0.15047437304566957,0.1
FILD or FILA ADJUDICATED,combined,rs11264306_A_0,2,12.5,0.05708728852237537,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs11264306_A_1,2,8.5,0.13152554875718545,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs11680126_C_1,1,8.0,0.07792616917599339,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs117427783_T_1,3,12.0,0.07699020990994408,0.1
FILD or FILA ADJUDICATED,combined,rs1189320_G_0,1,9.0,0.08668912173763779,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1189320_G_2,4,16.5,0.07763885319119203,0.13333333333333333
FILD or FILA ADJUDICATED,combined,rs12275748_C_2,1,15.0,0.03166892489253916,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs12422371_C_1,3,14.333333333333334,0.05632482641412738,0.1
FILD or FILA ADJUDICATED,combined,rs12422371_C_2,2,16.0,0.07896981612641603,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs12446021_G_1,9,10.333333333333334,0.10859726218540504,0.3
FILD or FILA ADJUDICATED,combined,rs12446021_G_2,5,12.6,0.1357967713688654,0.16666666666666666
FILD or FILA ADJUDICATED,combined,rs12610495_A_2,2,17.0,0.035010541379678205,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs12626788_C_1,1,17.0,0.027814173388823207,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs12626788_C_2,1,8.0,0.049132944248861825,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs12658068_G_1,1,20.0,0.03339442179516222,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs12713927_G_1,1,14.0,0.06350468826369872,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs12713927_G_2,1,14.0,0.04750255867887717,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1278769_G_1,1,18.0,0.026300051407004234,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1278769_G_2,2,6.0,0.08904598978880075,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs12928193_G_1,2,20.0,0.03420085278342702,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs12928193_G_2,2,18.0,0.09969388668711761,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs12975986_C_2,2,13.5,0.14291959234844587,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs13183751_G_0,1,17.0,0.08782397579083438,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs13183751_G_1,15,9.266666666666667,0.21492253378952947,0.5
FILD or FILA ADJUDICATED,combined,rs13183751_G_2,1,16.0,0.03481427219031598,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1422506_G_0,1,7.0,0.05984113020739855,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1422506_G_1,2,10.5,0.09126963458812314,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs1422506_G_2,11,8.363636363636363,0.15342793132753857,0.36666666666666664
FILD or FILA ADJUDICATED,combined,rs1423029_A_0,7,13.285714285714286,0.08052007688824005,0.23333333333333334
FILD or FILA ADJUDICATED,combined,rs1423029_A_1,2,14.0,0.06195090175091221,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs1423029_A_2,1,16.0,0.030589592561323202,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1479945_C_2,3,11.333333333333334,0.10941251268314138,0.1
FILD or FILA ADJUDICATED,combined,rs1488496_C_2,3,14.0,0.10602889107800874,0.1
FILD or FILA ADJUDICATED,combined,rs1496725_A_0,3,16.666666666666668,0.07189900945109091,0.1
FILD or FILA ADJUDICATED,combined,rs1496725_A_2,2,7.5,0.07379553508081915,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs1669778_T_2,1,7.0,0.09010965094966744,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs16837903_G_1,3,12.333333333333334,0.09351717641740283,0.1
FILD or FILA ADJUDICATED,combined,rs16837903_G_2,11,10.636363636363637,0.22118629909352408,0.36666666666666664
FILD or FILA ADJUDICATED,combined,rs169889_A_0,6,10.666666666666666,0.11088467447710615,0.2
FILD or FILA ADJUDICATED,combined,rs17019820_A_1,2,12.5,0.07841901229122956,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs17616659_G_0,1,7.0,0.03151200926150559,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs17616659_G_1,1,11.0,0.0757517196103097,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs17616659_G_2,1,20.0,0.04603887624627194,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs17690703_C_0,4,11.0,0.15875092611254848,0.13333333333333333
FILD or FILA ADJUDICATED,combined,rs17690703_C_2,1,20.0,0.08973121148528743,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1851741_G_0,1,3.0,0.14050105676443306,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1851741_G_1,3,12.333333333333334,0.12202706471310477,0.1
FILD or FILA ADJUDICATED,combined,rs1981997_G_1,1,19.0,0.036034288926816344,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs1981997_G_2,5,7.6,0.3292068297087585,0.16666666666666666
FILD or FILA ADJUDICATED,combined,rs2034650_A_0,1,18.0,0.09234081891007531,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2067832_G_1,1,15.0,0.0449737066828381,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2071627_C_0,1,14.0,0.042254317076464695,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2071627_C_1,1,11.0,0.037475192521814346,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2076295_T_0,9,10.555555555555555,0.14765432132397055,0.3
FILD or FILA ADJUDICATED,combined,rs2076295_T_1,5,11.6,0.10976013398822278,0.16666666666666666
FILD or FILA ADJUDICATED,combined,rs2076295_T_2,1,14.0,0.0909951097471928,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2109069_G_2,3,15.666666666666666,0.10963927364221523,0.1
FILD or FILA ADJUDICATED,combined,rs2228972_G_1,1,18.0,0.07632510601248396,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2228972_G_2,3,3.6666666666666665,0.3303758256505646,0.1
FILD or FILA ADJUDICATED,combined,rs2353082_C_1,1,20.0,0.0198192828271644,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2353082_C_2,2,11.0,0.11189885848570318,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs2361278_T_2,1,9.0,0.06616500940730427,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2375892_T_1,1,13.0,0.026059136543210813,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2577254_T_0,1,9.0,0.07868682431849482,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2577254_T_1,1,10.0,0.023433424677336414,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2609255_T_1,2,10.5,0.27312994574053484,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs2609260_T_1,1,6.0,0.09567382075250913,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs2609260_T_2,2,7.0,0.120281068668384,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs2726049_A_0,2,12.0,0.08567910537047324,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs2726049_A_1,14,9.928571428571429,0.2557192238393345,0.4666666666666667
FILD or FILA ADJUDICATED,combined,rs2726049_A_2,7,8.142857142857142,0.21532331632917492,0.23333333333333334
FILD or FILA ADJUDICATED,combined,rs2736100_A_1,11,10.272727272727273,0.17413533880431356,0.36666666666666664
FILD or FILA ADJUDICATED,combined,rs2736100_A_2,4,15.5,0.09867696182318501,0.13333333333333333
FILD or FILA ADJUDICATED,combined,rs2857476_C_2,2,4.0,0.1321835961252229,0.06666666666666667
FILD or FILA ADJUDICATED,combined,rs28703652_G_0,1,16.0,0.05416807492351223,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs28703652_G_1,1,8.0,0.027416339371938894,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs28703652_G_2,1,6.0,0.13072750163108654,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs302837_A_0,1,8.0,0.072479272030559,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs302837_A_1,13,8.538461538461538,0.1463557413321345,0.43333333333333335
FILD or FILA ADJUDICATED,combined,rs302837_A_2,1,6.0,0.043316986557623546,0.03333333333333333
FILD or FILA ADJUDICATED,combined,rs3130157_G_1,4,13.75,0.1678481961089706,0.13333333333333333
FILD or FILA ADJUDICATED,combined,rs3131520_C_1,9,11.444444444444445,0.2237707898180533,0.3
