target_name,model,feature,n_splits,mean_importance,median_importance,max_importance,empirical_q025,empirical_q975,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_max_ci_low,bootstrap_max_ci_high
FILD or FILA ADJUDICATED,genomic,rs3131520_C_0,30,0.015062878651914798,0.0051893978139044075,0.10919327779701463,0.0,0.08458892581657096,0.006974168399175393,0.025351498433724327,0.03790786232828712,0.10919327779701463
FILD or FILA ADJUDICATED,genomic,rs3131520_C_1,30,0.06505388488285646,0.04841106540021761,0.3116073808025975,0.0,0.1887408194226186,0.04586087592177612,0.08833914552293574,0.11198184021358176,0.3116073808025975
FILD or FILA ADJUDICATED,genomic,rs3131520_C_2,30,0.04614895792979391,0.03648980896211185,0.1812719872996053,0.0,0.13508385767023945,0.030910031278585694,0.06144237978432609,0.09938769537805088,0.1812719872996053
FILD or FILA ADJUDICATED,genomic,rs55993474_A_0,30,7.769460425992551e-05,0.0,0.0023308381277977654,0.0,0.0006409804851443822,0.0,0.00023308381277977654,0.0,0.0023308381277977654
FILD or FILA ADJUDICATED,genomic,rs55993474_A_1,30,0.006940817507525053,0.0017458557990467352,0.05788108078489695,0.0,0.039906841053382124,0.003361775925208306,0.011657829485721971,0.015741614248715025,0.05788108078489695
FILD or FILA ADJUDICATED,genomic,rs55993474_A_2,30,0.008274128764416069,0.0006564044802973266,0.06360955944134221,0.0,0.05543890050589623,0.003375111326752136,0.01441535246768927,0.026244744048427103,0.06360955944134221
FILD or FILA ADJUDICATED,genomic,rs2375892_T_0,30,0.015096728849179845,0.006537475720190962,0.06976823100089875,0.0,0.06934325125569667,0.008267157797788586,0.023111620740830903,0.048679099998628836,0.06976823100089875
FILD or FILA ADJUDICATED,genomic,rs2375892_T_1,30,0.021857230744443925,0.012754651501458145,0.09446151348299468,0.0,0.08849633144946728,0.013315854001829646,0.031479408281746314,0.06883909354095767,0.09446151348299468
FILD or FILA ADJUDICATED,genomic,rs2375892_T_2,30,0.03248309661170114,0.0265798481962614,0.12046284185738416,0.0,0.11721953340003624,0.021670042905142704,0.04475724123195221,0.09113359055327365,0.12046284185738416
FILD or FILA ADJUDICATED,genomic,rs10881263_G_0,30,0.015785364373767232,0.007508711811921481,0.08154980198893255,0.0,0.0676412718495667,0.009054559268911484,0.022649062044161342,0.04126134443268081,0.08154980198893255
FILD or FILA ADJUDICATED,genomic,rs10881263_G_1,30,0.02786655674440858,0.018955441649350424,0.1190080326724866,0.0,0.11020024410307336,0.01758479314135497,0.03956901636219481,0.04783747622729106,0.1190080326724866
FILD or FILA ADJUDICATED,genomic,rs10881263_G_2,30,0.019554651491333282,0.011369600779874544,0.09811877126509314,0.0,0.07602694612590184,0.01270499942614321,0.027320895373786118,0.03808087898135543,0.09811877126509314
FILD or FILA ADJUDICATED,genomic,rs11102362_G_0,30,0.01451930002018668,0.0066418242238921,0.0490167634643322,0.0,0.04811193564622331,0.008579825899974672,0.02048673449264184,0.045606832772196,0.0490167634643322
FILD or FILA ADJUDICATED,genomic,rs11102362_G_1,30,0.024437292141085767,0.00809295831422923,0.14551255318224662,0.0,0.09407708115542887,0.013824821736431351,0.03733302556265943,0.0644995737961673,0.14551255318224662
FILD or FILA ADJUDICATED,genomic,rs11102362_G_2,30,0.036549282955647105,0.0320696711053774,0.21881976479015497,0.0,0.16221877757258413,0.021947105400213864,0.053924804509814905,0.07145877513076057,0.21881976479015497
FILD or FILA ADJUDICATED,genomic,rs16837903_G_0,30,0.0028173551864267197,0.0,0.033119453191005024,0.0,0.028425909936670265,0.00016543585954392406,0.006511831336685052,0.004963075786317722,0.033119453191005024
FILD or FILA ADJUDICATED,genomic,rs16837903_G_1,30,0.0393705299124325,0.024934809913161302,0.17979800698889642,0.0,0.13943730919937194,0.02401938484869086,0.05556215137568599,0.09679423004836189,0.17979800698889642
FILD or FILA ADJUDICATED,genomic,rs16837903_G_2,30,0.11184430384087028,0.09472009198224948,0.5458452895447264,0.016584325197941823,0.31603547955544303,0.08019890189462087,0.1503738399766072,0.19577161382737296,0.5458452895447264
FILD or FILA ADJUDICATED,genomic,rs11264306_A_0,30,0.05630023119095554,0.03651289750711889,0.2742243548514843,0.0,0.27295757681486804,0.03409002229412306,0.08259991747204118,0.1542077221827781,0.2742243548514843
FILD or FILA ADJUDICATED,genomic,rs11264306_A_1,30,0.03190575892099249,0.01411356319819861,0.3372834937951619,0.0,0.15837968231617836,0.015810324035587787,0.0581272583593021,0.060814137999535625,0.3372834937951619
FILD or FILA ADJUDICATED,genomic,rs11264306_A_2,30,0.01697630105822587,0.012370160724403905,0.0730170121237608,0.0,0.062411569571787874,0.010822771250654551,0.024259780981693978,0.042013482151816016,0.0730170121237608
FILD or FILA ADJUDICATED,genomic,rs7547997_G_0,30,0.017545391720705173,0.006181133285430381,0.1261155958210983,0.0,0.09387474154052536,0.008393906696682439,0.028602781948005987,0.03774048039533794,0.1261155958210983
FILD or FILA ADJUDICATED,genomic,rs7547997_G_1,30,0.014106318350044951,0.004204379253087587,0.09878652820318047,0.0,0.09347742888112906,0.006548377787869068,0.023999301619008505,0.033830164008110584,0.09878652820318047
FILD or FILA ADJUDICATED,genomic,rs7547997_G_2,30,0.037534290680130894,0.01924951217060828,0.1795982110563224,0.0,0.16125832928212358,0.021599910307973338,0.05578396240934367,0.12872644884890616,0.1795982110563224
FILD or FILA ADJUDICATED,genomic,rs699240_T_0,30,0.07520744685865653,0.047460221811274114,0.29595828609980795,0.0,0.23827135241036673,0.05014785130405854,0.10292266769293723,0.1619712904595352,0.29595828609980795
FILD or FILA ADJUDICATED,genomic,rs699240_T_1,30,0.06692422789318402,0.03173465853012134,0.3179300266219843,0.0,0.2795260356244436,0.03928214418655322,0.09809294543077222,0.20576687192204202,0.3179300266219843
FILD or FILA ADJUDICATED,genomic,rs699240_T_2,30,0.021466389323365788,0.009075955496595105,0.11691580157597846,0.0,0.09669864729413419,0.011492072666565155,0.03314204593940592,0.07578889152859723,0.11691580157597846
FILD or FILA ADJUDICATED,genomic,rs114064385_G_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,genomic,rs114064385_G_1,30,0.005019755499163068,0.0004244370969776483,0.02771487000402327,0.0,0.024635854888997912,0.002341843288975368,0.007879553130582364,0.0146540538131438,0.02771487000402327
FILD or FILA ADJUDICATED,genomic,rs114064385_G_2,30,0.001698114606345134,0.0,0.016076449656411612,0.0,0.009756261893104558,0.0007358366880500159,0.0029907488743043087,0.004516527259995205,0.016076449656411612
FILD or FILA ADJUDICATED,genomic,rs55682827_C_0,30,0.0006190638795371982,0.0,0.01152919205355125,0.0,0.008276502955835992,0.0,0.0016224341608594383,0.0,0.01152919205355125
FILD or FILA ADJUDICATED,genomic,rs55682827_C_1,30,0.014605468181395518,0.006371112044119139,0.0675093341747121,0.0,0.0658963415946592,0.00820221443458015,0.02150416803355104,0.046313984270669274,0.0675093341747121
FILD or FILA ADJUDICATED,genomic,rs55682827_C_2,30,0.028058408426086485,0.007467489617229129,0.10476642442033157,0.0,0.10136175513355407,0.01624178574334049,0.040911124222407065,0.09090702814709402,0.10476642442033157
FILD or FILA ADJUDICATED,genomic,rs17019820_A_0,30,0.006207823440956364,0.0,0.05955859113954551,0.0,0.05003403333365056,0.0017114267006412562,0.011820641305924254,0.024747859511283995,0.05955859113954551
FILD or FILA ADJUDICATED,genomic,rs17019820_A_1,30,0.04810163095285747,0.04322033829044892,0.1506612099731675,0.0,0.1468922724886794,0.033092178432743306,0.06353650244379425,0.10626895471915201,0.1506612099731675
