feature,coef,abs_coef,nonzero,target_name,repeat,split_seed
rs3131520_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs3131520_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs3131520_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs55993474_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs55993474_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs55993474_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs2375892_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs2375892_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs2375892_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs10881263_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs10881263_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs10881263_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs11102362_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs11102362_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs11102362_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs16837903_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs16837903_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs16837903_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs11264306_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs11264306_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs11264306_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs7547997_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs7547997_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs7547997_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs699240_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs699240_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs699240_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs114064385_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs114064385_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs114064385_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
rs55682827_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,220311312
