target_name,feature,n_splits,nonzero_fraction,mean_coef,median_coef,mean_abs_coef,max_abs_coef,positive_fraction,negative_fraction,sign_consistency
FILD or FILA ADJUDICATED,predicted_risk,30,1.0,0.36789575097655913,0.3635366640210126,0.36789575097655913,0.4414528399129952,1.0,0.0,1.0
FILD or FILA ADJUDICATED,rs35705950.1_G_2,30,0.5,-0.02168942614293605,-0.003603023341479278,0.02168942614293605,0.08499307495788647,0.0,0.5,0.5
FILD or FILA ADJUDICATED,rs35705950.1_G_1,30,0.16666666666666666,0.003435697498460344,0.0,0.003435697498460344,0.04160106480542826,0.16666666666666666,0.0,0.16666666666666666
FILD or FILA ADJUDICATED,rs117750427_A_0,30,0.1,0.0033816493989368445,0.0,0.0033816493989368445,0.03464824176974068,0.1,0.0,0.1
FILD or FILA ADJUDICATED,rs325093_T_0,30,0.03333333333333333,0.0005673704003777757,0.0,0.0005673704003777757,0.017021112011333273,0.03333333333333333,0.0,0.03333333333333333
FILD or FILA ADJUDICATED,rs1015097_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1015097_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1015097_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10422762_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10422762_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10422762_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10484326_T_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10484326_T_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10484326_T_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10518693_C_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10518693_C_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10518693_C_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10748858_T_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10748858_T_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10748858_T_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10776482_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10776482_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10776482_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10783497_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10783497_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10783497_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10842996_T_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10842996_T_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10842996_T_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10869195_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10869195_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10869195_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10881263_G_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10881263_G_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10881263_G_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10886437_C_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10886437_C_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10886437_C_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10976897_G_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10976897_G_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10976897_G_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11083093_G_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11083093_G_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11083093_G_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11102362_G_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11102362_G_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11102362_G_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11154034_T_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11154034_T_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11154034_T_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11191865_G_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11191865_G_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11191865_G_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1123573_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1123573_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1123573_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11264306_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11264306_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11264306_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs114064385_G_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs114064385_G_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs114064385_G_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs116575227_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs116575227_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs116575227_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11680126_C_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11680126_C_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs11680126_C_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs117427783_T_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs117427783_T_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs117427783_T_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs117750427_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs117750427_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1189320_G_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1189320_G_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1189320_G_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs12275748_C_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs12275748_C_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs12275748_C_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs12422371_C_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs12422371_C_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
