target_name,feature,n_splits,nonzero_fraction,mean_coef,median_coef,mean_abs_coef,max_abs_coef,positive_fraction,negative_fraction,sign_consistency
FILD or FILA ADJUDICATED,predicted_risk,30,1.0,0.366414517876232,0.3685884699810447,0.366414517876232,0.4476611908695869,1.0,0.0,1.0
FILD or FILA ADJUDICATED,rs35705950.1_G_2,30,0.4,-0.015134314710801105,0.0,0.015134314710801105,0.0776617949462981,0.0,0.4,0.4
FILD or FILA ADJUDICATED,rs35705950.1_G_1,30,0.1,0.0021052650357991543,0.0,0.0021052650357991543,0.03878348583761034,0.1,0.0,0.1
FILD or FILA ADJUDICATED,rs117750427_A_0,30,0.06666666666666667,0.0022315852290203317,0.0,0.0022315852290203317,0.03386437002209351,0.06666666666666667,0.0,0.06666666666666667
FILD or FILA ADJUDICATED,rs325093_T_0,30,0.03333333333333333,0.000853891536098801,0.0,0.000853891536098801,0.02561674608296403,0.03333333333333333,0.0,0.03333333333333333
FILD or FILA ADJUDICATED,rs1015097_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1015097_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs1015097_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10422762_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10422762_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10422762_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10484326_T_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10484326_T_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10484326_T_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10518693_C_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10518693_C_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10518693_C_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10748858_T_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10748858_T_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10748858_T_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10776482_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10776482_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10776482_A_2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10783497_A_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,rs10783497_A_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
