target_name,model,feature,n_splits,mean_importance,median_importance,max_importance,empirical_q025,empirical_q975,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_max_ci_low,bootstrap_max_ci_high
FILD or FILA ADJUDICATED,genomic,rs3131520_C_0,30,0.01183326632683298,0.005891007060226986,0.06419190739980422,0.0,0.0592075300083943,0.006774557191150747,0.0179862720780903,0.025115815731314457,0.06419190739980422
FILD or FILA ADJUDICATED,genomic,rs3131520_C_1,30,0.08981911529863505,0.04760244093706327,0.3696710836782098,0.0,0.280767813746448,0.05839131549555533,0.12629572317133864,0.2335879543461855,0.3696710836782098
FILD or FILA ADJUDICATED,genomic,rs3131520_C_2,30,0.07992419741271385,0.04104871415463208,0.5418829101731808,0.0008301193169827738,0.3834139875207919,0.04383349786056305,0.12520253220376215,0.14945782812084976,0.5418829101731808
FILD or FILA ADJUDICATED,genomic,rs55993474_A_0,30,0.00013107187188817287,0.0,0.003816945305076504,0.0,0.0011331878262833277,0.0,0.00038937525394556257,0.0,0.003816945305076504
FILD or FILA ADJUDICATED,genomic,rs55993474_A_1,30,0.005917090030252211,0.0017498252537084904,0.029441864325344725,0.0,0.02838142720824012,0.003172035591848488,0.009001558394957296,0.018909838980601543,0.029441864325344725
FILD or FILA ADJUDICATED,genomic,rs55993474_A_2,30,0.013371469794023816,0.002532713010124787,0.22839012784360468,0.0,0.08044751444996562,0.0038206080808420866,0.02929035689064712,0.02355002415673072,0.22839012784360468
FILD or FILA ADJUDICATED,genomic,rs2375892_T_0,30,0.0292123854343281,0.01354825711369751,0.18669551955183253,0.0,0.14849543736913903,0.015353662930147153,0.04639731266097146,0.08862289851057586,0.18669551955183253
FILD or FILA ADJUDICATED,genomic,rs2375892_T_1,30,0.02066102661960015,0.012735406596592922,0.08013946463253159,0.0,0.07866666043319051,0.01315432191100863,0.029145828749209818,0.04908426527914772,0.08013946463253159
FILD or FILA ADJUDICATED,genomic,rs2375892_T_2,30,0.0544955783556339,0.0255711415556763,0.3515085461937163,0.0,0.21124826022724835,0.032024611963057094,0.08314968058150152,0.11500246877089071,0.3515085461937163
FILD or FILA ADJUDICATED,genomic,rs10881263_G_0,30,0.024287785074722092,0.012493299065215537,0.0978373634207858,0.0,0.09539488189562362,0.015204594152301668,0.03490589156878881,0.05267785501332964,0.0978373634207858
FILD or FILA ADJUDICATED,genomic,rs10881263_G_1,30,0.04077150768681274,0.022204056769861612,0.20935889821984355,0.0,0.14915701177417265,0.026505042877191746,0.05809873186245637,0.0691224610618492,0.20935889821984355
