target_name,model,feature,top20_split_count,mean_rank_when_top20,max_mean_abs_shap,fraction_splits_top20
FILD or FILA ADJUDICATED,combined,16-67856240-A-G_A_2,1,18.0,0.04285589446195501,0.1
FILD or FILA ADJUDICATED,combined,JHU_1.150870628_G_0,1,16.0,0.04053984883390933,0.1
FILD or FILA ADJUDICATED,combined,JHU_1.182178160_C_1,1,13.0,0.022546532767533184,0.1
FILD or FILA ADJUDICATED,combined,JHU_1.186924725_C_2,1,18.0,0.040340653169637176,0.1
FILD or FILA ADJUDICATED,combined,JHU_10.72702459_G_2,1,15.0,0.03304939139725593,0.1
FILD or FILA ADJUDICATED,combined,JHU_10.8302601_T_2,1,9.0,0.08569867624093609,0.1
FILD or FILA ADJUDICATED,combined,JHU_10.994752_A_0,2,13.5,0.06082978448025579,0.2
FILD or FILA ADJUDICATED,combined,JHU_11.1236426_A_2,1,19.0,0.06423727890229383,0.1
FILD or FILA ADJUDICATED,combined,JHU_11.1242226_C_1,1,11.0,0.041908496414270496,0.1
FILD or FILA ADJUDICATED,combined,JHU_11.1489135_C_1,1,10.0,0.04669596415245465,0.1
FILD or FILA ADJUDICATED,combined,JHU_11.1641030_A_1,1,10.0,0.0257999337940146,0.1
FILD or FILA ADJUDICATED,combined,JHU_11.1641030_A_2,1,6.0,0.071385950997944,0.1
FILD or FILA ADJUDICATED,combined,JHU_11.1657986_C_2,1,19.0,0.03612439914105531,0.1
FILD or FILA ADJUDICATED,combined,JHU_12.13539765_C_0,1,8.0,0.08322779853450597,0.1
FILD or FILA ADJUDICATED,combined,JHU_12.13539765_C_2,1,11.0,0.043514647601796526,0.1
FILD or FILA ADJUDICATED,combined,JHU_14.89605816_T_1,2,9.0,0.06540672505253145,0.2
FILD or FILA ADJUDICATED,combined,JHU_14.89605816_T_2,3,8.0,0.0857989767562347,0.3
FILD or FILA ADJUDICATED,combined,JHU_15.80539621_A_0,1,11.0,0.0453672290623198,0.1
FILD or FILA ADJUDICATED,combined,JHU_15.85827144_A_0,1,16.0,0.05140007638131281,0.1
FILD or FILA ADJUDICATED,combined,JHU_15.85827144_A_2,1,17.0,0.05011935146711687,0.1
FILD or FILA ADJUDICATED,combined,JHU_15.94663430_A_1,1,12.0,0.06505796063330387,0.1
FILD or FILA ADJUDICATED,combined,JHU_16.50287078_T_2,1,13.0,0.04194227156975788,0.1
FILD or FILA ADJUDICATED,combined,JHU_16.79024090_A_1,1,3.0,0.102999429595048,0.1
FILD or FILA ADJUDICATED,combined,JHU_16.79024090_A_2,1,18.0,0.036134958124758615,0.1
FILD or FILA ADJUDICATED,combined,JHU_16.79119977_A_1,2,8.5,0.08491551349347663,0.2
FILD or FILA ADJUDICATED,combined,JHU_17.17325862_T_1,1,20.0,0.062167295764835304,0.1
FILD or FILA ADJUDICATED,combined,JHU_17.43758381_T_2,1,3.0,0.06067760474585496,0.1
FILD or FILA ADJUDICATED,combined,JHU_17.43809843_C_0,1,19.0,0.041569335600782714,0.1
FILD or FILA ADJUDICATED,combined,JHU_17.44907250_T_2,3,6.0,0.08925045162617842,0.3
FILD or FILA ADJUDICATED,combined,JHU_17.45308741_C_1,1,20.0,0.03683650459824943,0.1
FILD or FILA ADJUDICATED,combined,JHU_17.64024254_T_2,1,17.0,0.04039870579436537,0.1
FILD or FILA ADJUDICATED,combined,JHU_18.40231832_G_2,1,6.0,0.09008994152445204,0.1
FILD or FILA ADJUDICATED,combined,JHU_19.3811082_G_1,2,17.0,0.026580748983760824,0.2
FILD or FILA ADJUDICATED,combined,JHU_2.100895161_T_2,1,12.0,0.04576510234707026,0.1
FILD or FILA ADJUDICATED,combined,JHU_2.113852747_C_2,2,8.0,0.052405451349726316,0.2
FILD or FILA ADJUDICATED,combined,JHU_2.11739414_G_2,1,20.0,0.03785946149009954,0.1
FILD or FILA ADJUDICATED,combined,JHU_2.230081608_T_0,1,9.0,0.04409867031364964,0.1
FILD or FILA ADJUDICATED,combined,JHU_2.30986644_C_1,1,16.0,0.040221607142840864,0.1
FILD or FILA ADJUDICATED,combined,JHU_20.10372945_A_1,1,10.0,0.06630333313602715,0.1
FILD or FILA ADJUDICATED,combined,JHU_21.19723007_A_2,4,11.25,0.08402803440400203,0.4
FILD or FILA ADJUDICATED,combined,JHU_21.34864390_G_1,1,18.0,0.03151887287240333,0.1
FILD or FILA ADJUDICATED,combined,JHU_21.34864390_G_2,2,7.0,0.16640834583251113,0.2
FILD or FILA ADJUDICATED,combined,JHU_3.10518914_T_2,2,9.0,0.04856520361101076,0.2
FILD or FILA ADJUDICATED,combined,JHU_3.137300390_A_2,1,16.0,0.045726490656439064,0.1
FILD or FILA ADJUDICATED,combined,JHU_3.43776742_C_1,1,13.0,0.06492711157859146,0.1
FILD or FILA ADJUDICATED,combined,JHU_3.43776742_C_2,1,10.0,0.06609396022306514,0.1
FILD or FILA ADJUDICATED,combined,JHU_3.44224552_G_2,1,9.0,0.054502352482062894,0.1
FILD or FILA ADJUDICATED,combined,JHU_4.167703896_A_2,1,19.0,0.0184984266981971,0.1
FILD or FILA ADJUDICATED,combined,JHU_4.3267073_T_1,1,16.0,0.03939313411452708,0.1
FILD or FILA ADJUDICATED,combined,JHU_4.71205476_A_2,1,9.0,0.057590356048375126,0.1
FILD or FILA ADJUDICATED,combined,JHU_4.88516116_T_0,2,11.5,0.10370950007332531,0.2
FILD or FILA ADJUDICATED,combined,JHU_5.122423649_G_1,1,13.0,0.06170313216711741,0.1
FILD or FILA ADJUDICATED,combined,JHU_5.1415628_A_2,1,9.0,0.0711222982421898,0.1
FILD or FILA ADJUDICATED,combined,JHU_5.1462719_A_1,1,4.0,0.06015600530913456,0.1
FILD or FILA ADJUDICATED,combined,JHU_6.32742058_C_0,1,3.0,0.15148666227845947,0.1
FILD or FILA ADJUDICATED,combined,JHU_6.3579664_C_0,2,8.5,0.04271283384123256,0.2
FILD or FILA ADJUDICATED,combined,JHU_6.3579664_C_2,1,17.0,0.019877924564310794,0.1
FILD or FILA ADJUDICATED,combined,JHU_6.7555853_G_1,2,8.5,0.07987917517895005,0.2
FILD or FILA ADJUDICATED,combined,JHU_6.88954767_C_1,1,12.0,0.05932569278969802,0.1
FILD or FILA ADJUDICATED,combined,JHU_6.93825173_A_2,1,8.0,0.06889956341396897,0.1
FILD or FILA ADJUDICATED,combined,JHU_7.38202969_G_1,2,11.0,0.07285387682103416,0.2
FILD or FILA ADJUDICATED,combined,JHU_8.140588418_C_0,1,11.0,0.06675691866436342,0.1
FILD or FILA ADJUDICATED,combined,JHU_8.17939193_G_2,1,18.0,0.018923623036711898,0.1
FILD or FILA ADJUDICATED,combined,predicted_risk,10,1.0,1.0542110461078003,1.0
FILD or FILA ADJUDICATED,combined,rs10422762_A_0,1,17.0,0.03255688270071222,0.1
FILD or FILA ADJUDICATED,combined,rs10518693_C_2,1,14.0,0.0438482774881769,0.1
FILD or FILA ADJUDICATED,combined,rs10748858_T_0,1,5.0,0.14750302113462832,0.1
FILD or FILA ADJUDICATED,combined,rs10776482_A_0,2,6.5,0.07535740384017298,0.2
FILD or FILA ADJUDICATED,combined,rs10783497_A_2,1,5.0,0.092383004253381,0.1
FILD or FILA ADJUDICATED,combined,rs11102362_G_1,1,18.0,0.06427594362704059,0.1
FILD or FILA ADJUDICATED,combined,rs11154034_T_2,2,14.0,0.05347581156212696,0.2
FILD or FILA ADJUDICATED,combined,rs1123573_A_0,4,15.5,0.09620258324653254,0.4
FILD or FILA ADJUDICATED,combined,rs11264306_A_1,1,15.0,0.04068706239727563,0.1
FILD or FILA ADJUDICATED,combined,rs11264306_A_2,1,17.0,0.03975109421003015,0.1
FILD or FILA ADJUDICATED,combined,rs1189320_G_2,1,6.0,0.08741058929116095,0.1
FILD or FILA ADJUDICATED,combined,rs12446021_G_1,2,7.0,0.08088802821144786,0.2
FILD or FILA ADJUDICATED,combined,rs12446021_G_2,2,3.5,0.18463610432520416,0.2
FILD or FILA ADJUDICATED,combined,rs12710674_C_1,1,14.0,0.06003991214442489,0.1
FILD or FILA ADJUDICATED,combined,rs12713927_G_1,1,7.0,0.059986297230121735,0.1
FILD or FILA ADJUDICATED,combined,rs12713927_G_2,1,13.0,0.042709156293057826,0.1
FILD or FILA ADJUDICATED,combined,rs13183751_G_1,2,16.5,0.07911447470202869,0.2
FILD or FILA ADJUDICATED,combined,rs1422506_G_1,2,17.5,0.04120113187956863,0.2
FILD or FILA ADJUDICATED,combined,rs1422506_G_2,3,9.666666666666666,0.07583915257651835,0.3
FILD or FILA ADJUDICATED,combined,rs1423029_A_0,1,15.0,0.02171710510442305,0.1
FILD or FILA ADJUDICATED,combined,rs1423029_A_2,1,11.0,0.046230461822549106,0.1
FILD or FILA ADJUDICATED,combined,rs16837903_G_1,2,10.5,0.08345686508136961,0.2
FILD or FILA ADJUDICATED,combined,rs16837903_G_2,1,3.0,0.09651635574099365,0.1
FILD or FILA ADJUDICATED,combined,rs169889_A_0,1,7.0,0.05827842481435705,0.1
FILD or FILA ADJUDICATED,combined,rs17690703_C_0,3,6.333333333333333,0.06363543229258704,0.3
FILD or FILA ADJUDICATED,combined,rs1981997_G_0,1,17.0,0.04475988066979291,0.1
FILD or FILA ADJUDICATED,combined,rs2034650_A_0,1,13.0,0.044081815080935075,0.1
FILD or FILA ADJUDICATED,combined,rs2076295_T_0,2,17.5,0.06866689433815766,0.2
FILD or FILA ADJUDICATED,combined,rs2353082_C_1,1,20.0,0.03572930429186049,0.1
FILD or FILA ADJUDICATED,combined,rs2375892_T_2,1,14.0,0.041505659906541245,0.1
FILD or FILA ADJUDICATED,combined,rs2577254_T_0,1,7.0,0.07335634929131783,0.1
FILD or FILA ADJUDICATED,combined,rs2577254_T_1,1,4.0,0.12215275819674833,0.1
FILD or FILA ADJUDICATED,combined,rs2726049_A_1,1,3.0,0.1144916029693295,0.1
FILD or FILA ADJUDICATED,combined,rs302837_A_1,6,11.833333333333334,0.1431204537108306,0.6
FILD or FILA ADJUDICATED,combined,rs302837_A_2,1,17.0,0.038186154284106,0.1
FILD or FILA ADJUDICATED,combined,rs3131520_C_1,2,13.5,0.05362153845607859,0.2
FILD or FILA ADJUDICATED,combined,rs3131520_C_2,2,3.5,0.19089126802749581,0.2
FILD or FILA ADJUDICATED,combined,rs34547036_C_1,3,11.333333333333334,0.1126304373527689,0.3
FILD or FILA ADJUDICATED,combined,rs34547036_C_2,1,12.0,0.036601150062596524,0.1
FILD or FILA ADJUDICATED,combined,rs34625679_T_2,1,17.0,0.04359325931381376,0.1
FILD or FILA ADJUDICATED,combined,rs34825924_G_2,1,17.0,0.06545061010449293,0.1
FILD or FILA ADJUDICATED,combined,rs35705950.1_G_1,2,3.0,0.1942782071017378,0.2
FILD or FILA ADJUDICATED,combined,rs35705950.1_G_2,8,4.25,0.17755323109537133,0.8
FILD or FILA ADJUDICATED,combined,rs3750920_C_2,1,15.0,0.046248339964557156,0.1
